request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_220,114.36,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 3,118.50 request. None of the available options keeps the required minimum balance protected."
request_221,109800.0,affordable_now,full_payment,2025-11-03:109800,2025-11-03,none,"Pay INR 109,800.00 today."
request_222,34078.0,affordable_now,full_payment,2026-01-05:34078,2026-01-05,none,"Pay ZAR 34,078.00 today."
request_223,898.7,affordable_now,full_payment,2024-09-07:898.7,2024-09-07,none,Pay EUR 898.70 today.
request_224,9319977.95,affordable_with_plan,partial_payment,2025-02-04:9319977.95|2025-02-15:1007022.05,2025-02-15,none,"Pay IDR 9,319,977.95 today and remaining IDR 1,007,022.05 on 2025-02-15."
request_225,11694334.76,affordable_with_plan,installments,2026-07-20:7647120|2026-08-19:7647120|2026-09-18:7647120,2026-09-15,none,"Use 3 installments of IDR 7,647,120.00, starting 2026-07-20."
request_226,157000.0,affordable_now,full_payment,2024-12-03:157000,2024-12-03,none,"Pay INR 157,000.00 today."
request_227,23111.34,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 259,700.00 request. None of the available options keeps the required minimum balance protected."
request_228,5686094.81,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 63,327,000.00 request. None of the available options keeps the required minimum balance protected."
request_229,468.73,affordable_with_plan,installments,2024-03-18:529.29|2024-04-18:529.29|2024-05-19:529.29,2024-05-15,none,"Use 3 installments of EUR 529.29, starting 2024-03-18."
request_230,3537.6,affordable_now,full_payment,2025-08-06:3537.6,2025-08-06,none,"Pay EUR 3,537.60 today."
request_231,35526.16,affordable_with_plan,installments,2026-01-06:12378.08|2026-02-05:12378.08|2026-03-07:12378.08,2026-01-15,none,"Use 3 installments of ZAR 12,378.08, starting 2026-01-06."
request_232,911.26,affordable_later,wait,2024-08-15:1970.1,2024-08-15,none,"Pay EUR 1,970.10 in full on 2024-08-15."
request_233,0.0,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 6,241,000.00 request. None of the available options keeps the required minimum balance protected."
request_234,363.33,affordable_later,wait,2026-08-15:1213.3,2026-08-15,none,"Pay EUR 1,213.30 in full on 2026-08-15."
request_235,967.2,affordable_now,full_payment,2024-09-06:967.2,2024-09-06,none,Pay USD 967.20 today.
request_236,7443718.01,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 52,383,000.00 request. None of the available options keeps the required minimum balance protected."
request_237,23826000.0,affordable_now,full_payment,2026-04-05:23826000,2026-04-05,none,"Pay IDR 23,826,000.00 today."
request_238,663.6,affordable_with_plan,installments,2024-12-07:230.05|2025-01-07:230.05|2025-02-07:230.05,2024-12-07,none,"Use 3 installments of USD 230.05, starting 2024-12-07."
request_239,642.0,affordable_now,full_payment,2025-05-04:642,2025-05-04,none,Pay USD 642.00 today.
request_240,16587.67,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 101,200.00 request. None of the available options keeps the required minimum balance protected."
request_241,21052000.0,affordable_with_plan,installments,2024-03-17:7298026.67|2024-04-17:7298026.67|2024-05-18:7298026.67,2024-03-03,none,"Use 3 installments of IDR 7,298,026.67, starting 2024-03-17."
request_242,0.0,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1,966.80 request. None of the available options keeps the required minimum balance protected."
request_243,17468.0,affordable_now,full_payment,2026-07-07:17468,2026-07-07,none,"Pay ZAR 17,468.00 today."
request_244,49918.0,affordable_now,full_payment,2024-06-04:49918,2024-06-04,none,"Pay ZAR 49,918.00 today."
request_245,41119.73,affordable_later,wait,2025-12-15:128500,2025-12-15,none,"Pay INR 128,500.00 in full on 2025-12-15."
request_246,64086.0,affordable_with_plan,installments,2026-04-03:22216.48|2026-05-03:22216.48|2026-06-02:22216.48,2026-04-03,none,"Use 3 installments of ZAR 22,216.48, starting 2026-04-03."
request_247,1059.3,affordable_now,full_payment,2024-09-05:1059.3,2024-09-05,none,"Pay EUR 1,059.30 today."
request_248,966.71,affordable_with_plan,partial_payment,2025-02-07:966.71|2025-02-15:998.89,2025-02-15,none,Pay USD 966.71 today and remaining USD 998.89 on 2025-02-15.
request_249,182.72,affordable_later,wait,2026-03-15:643.2,2026-03-15,none,Pay USD 643.20 in full on 2026-03-15.
request_250,17762.28,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 124,278.00 request. None of the available options keeps the required minimum balance protected."
request_251,1513.6,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1,513.60 request. None of the available options keeps the required minimum balance protected."
request_252,6656910.53,affordable_later,wait,2026-08-15:28082000,2026-08-15,none,"Pay IDR 28,082,000.00 in full on 2026-08-15."
request_253,1464.07,affordable_with_plan,installments,2024-03-21:984.6|2024-04-21:984.6|2024-05-22:984.6,2024-05-15,none,"Use 3 installments of EUR 984.60, starting 2024-03-21."
request_254,958.43,affordable_later,wait,2025-09-15:3535.2,2025-09-15,none,"Pay USD 3,535.20 in full on 2025-09-15."
request_255,3345000.0,affordable_now,full_payment,2026-04-06:3345000,2026-04-06,none,"Pay IDR 3,345,000.00 today."
request_256,157592.78,affordable_with_plan,installments,2024-06-10:75816|2024-07-11:75816|2024-08-11:75816,2024-06-15,none,"Use 3 installments of INR 75,816.00, starting 2024-06-10."
request_257,532.68,affordable_later,wait,2025-11-15:1352.4,2025-11-15,none,"Pay USD 1,352.40 in full on 2025-11-15."
request_258,1113.6,affordable_now,full_payment,2026-01-07:1113.6,2026-01-07,none,"Pay USD 1,113.60 today."
request_259,489.86,affordable_later,wait,2024-10-15:935,2024-10-15,none,Pay EUR 935.00 in full on 2024-10-15.
request_260,8855869.31,affordable_with_plan,partial_payment,2025-02-06:8855869.31|2025-03-15:43223130.69,2025-03-15,reduce_to:event_23895:478040,"Pay IDR 8,855,869.31 today and remaining IDR 43,223,130.69 on 2025-03-15."
request_261,1830.4,affordable_now,full_payment,2026-07-03:1830.4,2026-07-03,none,"Pay EUR 1,830.40 today."
request_262,9236000.0,affordable_now,full_payment,2024-12-05:9236000,2024-12-05,none,"Pay IDR 9,236,000.00 today."
request_263,7726.45,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 51,546.00 request. None of the available options keeps the required minimum balance protected."
request_264,26863.74,affordable_later,wait,2026-05-15:111300,2026-05-15,none,"Pay INR 111,300.00 in full on 2026-05-15."
request_265,45970.0,affordable_now,full_payment,2024-03-06:45970,2024-03-06,none,"Pay INR 45,970.00 today."
request_266,935.0,affordable_with_plan,installments,2025-08-03:324.13|2025-08-31:324.13|2025-09-28:324.13,2025-08-03,none,"Use 3 installments of EUR 324.13, starting 2025-08-03."
request_267,1731.66,affordable_with_plan,installments,2026-01-08:667.33|2026-02-07:667.33|2026-03-09:667.33,2026-01-15,none,"Use 3 installments of EUR 667.33, starting 2026-01-08."
request_268,1134.52,affordable_with_plan,installments,2024-06-14:841.22|2024-07-15:841.22|2024-08-15:841.22,2024-07-15,none,"Use 3 installments of EUR 841.22, starting 2024-06-14."
request_269,0.0,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 15,490.00 request. None of the available options keeps the required minimum balance protected."
request_270,255.68,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 3,028.80 request. None of the available options keeps the required minimum balance protected."
request_271,20828.4,affordable_later,wait,2024-11-15:91300,2024-11-15,none,"Pay INR 91,300.00 in full on 2024-11-15."
request_272,6721120.51,affordable_with_plan,installments,2025-02-12:4709466.67|2025-03-12:4709466.67|2025-04-09:4709466.67,2025-02-15,none,"Use 3 installments of IDR 4,709,466.67, starting 2025-02-12."
request_273,10756514.78,affordable_with_plan,partial_payment,2026-04-07:10756514.78|2026-04-15:5104485.22,2026-04-15,none,"Pay IDR 10,756,514.78 today and remaining IDR 5,104,485.22 on 2026-04-15."
request_274,2202.53,affordable_with_plan,installments,2024-12-04:940.75|2025-01-04:940.75|2025-02-04:940.75,2024-12-15,none,"Use 3 installments of EUR 940.75, starting 2024-12-04."
request_275,15884000.0,affordable_now,full_payment,2025-05-06:15884000,2025-05-06,none,"Pay IDR 15,884,000.00 today."
